task,explanation,priority
Python,see jadi python videos,High
workout,go to the gym you fat mofo,High
go to the therapist,go and tell them that the voices in your head are killing you,High
Love your gf,yeah give her all of your love she deserves it she is the best thing that has happened to you,High
Ds,See abam ds video,Medium
get into a fight,punch somebody random in their face,Medium
cry with a radiohead song,cry with their let down track and rethink all of your stupid life,Medium
dont kill yourself,nothing just throw your suicidal thoughts away,Low
love yourself,naaah dont love yourself parsa ,Low
additional thing for mentor,Dear mentor please help me I obviously need help,Low
jozve,jozve benevis barde,low
